<<<<<<< HEAD
Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kinkala,-4.36,14.76,77.0,78.0,27.0,4.7,CG,1594591181.0
corrente,-3.74,-43.34,78.04,67.0,16.0,2.21,BR,1594591181.0
suez,29.97,32.53,74.21,81.0,0.0,9.33,EG,1594591181.0
macheng,31.18,115.03,70.43,91.0,100.0,5.19,CN,1594591182.0
aksarka,66.56,67.8,56.08,95.0,100.0,6.98,RU,1594591182.0
lasem,-6.69,111.45,75.27,82.0,42.0,5.73,ID,1594591182.0
outjo,-20.12,16.15,50.85,46.0,0.0,3.51,NA,1594591182.0
egvekinot,66.32,-179.17,56.44,47.0,96.0,4.9,RU,1594591182.0
fukuma,33.77,130.47,77.0,94.0,75.0,13.87,JP,1594591183.0
tres palos,18.18,-101.62,89.6,66.0,75.0,9.17,MX,1594591183.0
romny,50.75,33.47,65.48,89.0,46.0,7.23,UA,1594591183.0
formosa,-26.18,-58.18,73.4,73.0,100.0,5.82,AR,1594591183.0
nome,64.5,-165.41,64.99,67.0,1.0,4.7,US,1594591183.0
maxixe,-23.86,35.35,59.25,75.0,4.0,7.92,MZ,1594591184.0
ville-marie,47.33,-79.43,66.2,77.0,90.0,9.17,CA,1594590912.0
piracicaba,-22.73,-47.65,77.0,41.0,0.0,4.7,BR,1594591184.0
tuatapere,-46.13,167.68,39.0,83.0,66.0,3.0,NZ,1594591184.0
araouane,18.9,-3.53,99.01,22.0,0.0,6.22,ML,1594591185.0
tlapacoyan,19.97,-97.22,85.69,60.0,44.0,6.29,MX,1594591185.0
kahului,20.89,-156.47,89.6,43.0,40.0,25.28,US,1594591185.0
cisarua,-6.65,106.47,68.0,100.0,72.0,1.48,ID,1594591186.0
khorixas,-20.37,14.97,55.56,37.0,0.0,5.79,NA,1594591186.0
broken hill,-31.95,141.43,42.8,93.0,90.0,10.29,AU,1594591186.0
dingle,11.0,122.67,76.78,90.0,89.0,2.35,PH,1594591186.0
camacha,33.08,-16.33,68.0,77.0,40.0,11.41,PT,1594591186.0
visby,57.64,18.3,59.0,87.0,60.0,4.7,SE,1594591187.0
dwarka,22.24,68.97,83.46,83.0,82.0,16.44,IN,1594591187.0
fairbanks,64.84,-147.72,70.0,42.0,1.0,5.06,US,1594590966.0
fare,-16.7,-151.02,79.27,77.0,100.0,17.65,PF,1594591187.0
okha,53.57,142.95,56.17,86.0,100.0,1.48,RU,1594591187.0
manado,1.49,124.85,75.2,94.0,20.0,2.89,ID,1594591188.0
trinidad,-14.83,-64.9,87.8,55.0,20.0,8.05,BO,1594591188.0
cuencame,24.87,-103.7,88.84,20.0,74.0,9.66,MX,1594591188.0
stony plain,53.53,-114.0,70.0,52.0,75.0,11.41,CA,1594591188.0
gorontalo,0.54,123.06,74.32,87.0,60.0,2.57,ID,1594591188.0
sakakah,29.97,40.21,91.4,14.0,0.0,10.29,SA,1594591189.0
saint-georges,12.06,-61.75,86.0,79.0,40.0,13.87,GD,1594591189.0
tumpat,6.2,102.17,75.2,94.0,40.0,3.36,MY,1594591189.0
kupang,-10.17,123.58,77.0,73.0,20.0,12.75,ID,1594591189.0
namatanai,-3.67,152.43,76.01,89.0,100.0,6.98,PG,1594591190.0
manthani,18.65,79.67,82.29,77.0,100.0,4.25,IN,1594591190.0
itarema,-2.92,-39.92,78.24,78.0,57.0,14.72,BR,1594591190.0
borba,-4.39,-59.59,80.38,73.0,68.0,1.97,BR,1594591190.0
saint george,37.1,-113.58,108.0,13.0,1.0,26.4,US,1594591190.0
gemlik,40.43,29.16,71.6,82.0,0.0,2.93,TR,1594591191.0
sambava,-14.27,50.17,69.37,86.0,63.0,10.38,MG,1594591118.0
amuntai,-2.42,115.25,73.22,98.0,100.0,1.43,ID,1594591191.0
machala,-3.27,-79.97,74.12,80.0,66.0,10.36,EC,1594590923.0
kapuskasing,49.42,-82.43,60.8,77.0,90.0,10.29,CA,1594591192.0
sesheke,-17.48,24.3,44.6,42.0,0.0,3.36,ZM,1594591192.0
erzin,36.96,36.2,80.01,87.0,34.0,2.13,TR,1594591192.0
sao filipe,14.9,-24.5,74.57,79.0,63.0,4.54,CV,1594591192.0
loiza,18.43,-65.88,87.8,79.0,75.0,14.99,PR,1594591192.0
west plains,36.73,-91.85,88.0,40.0,1.0,11.41,US,1594591193.0
hornepayne,49.21,-84.77,74.3,36.0,10.0,8.46,CA,1594591193.0
hays,30.05,-98.03,107.01,25.0,7.0,1.99,US,1594591193.0
amahai,-3.33,128.92,76.8,88.0,73.0,8.72,ID,1594591193.0
bulgan,48.81,103.53,55.83,88.0,9.0,1.5,MN,1594591194.0
hovd,48.01,91.64,58.1,74.0,27.0,1.81,MN,1594591194.0
arona,28.1,-16.68,73.99,83.0,0.0,12.75,ES,1594591194.0
tudela,42.06,-1.6,69.8,73.0,100.0,8.05,ES,1594591194.0
dalvik,65.97,-18.53,53.6,87.0,90.0,5.82,IS,1594591195.0
alofi,-19.06,-169.92,75.2,83.0,95.0,21.92,NU,1594591195.0
zwedru,6.07,-8.13,71.73,94.0,66.0,3.02,LR,1594591195.0
loandjili,-4.76,11.86,71.6,94.0,75.0,6.93,CG,1594591196.0
hagersville,42.97,-80.05,77.0,57.0,75.0,13.87,CA,1594591196.0
mitsamiouli,-11.38,43.28,77.36,72.0,0.0,3.62,KM,1594591196.0
gaspe,48.83,-64.48,80.6,69.0,75.0,8.05,CA,1594591190.0
lamu,-2.27,40.9,77.49,78.0,18.0,18.39,KE,1594591197.0
atambua,-9.11,124.89,69.17,84.0,100.0,5.46,ID,1594591197.0
berlevag,70.86,29.09,46.4,87.0,75.0,5.82,NO,1594591197.0
surt,31.21,16.59,75.7,78.0,0.0,8.68,LY,1594591198.0
pacific grove,36.62,-121.92,79.0,60.0,1.0,6.93,US,1594591030.0
yamethin,20.43,96.15,75.02,89.0,100.0,9.73,MM,1594591198.0
cherskiy,68.75,161.3,53.51,91.0,100.0,3.13,RU,1594591198.0
sonoita,31.85,-112.83,111.99,15.0,2.0,1.01,MX,1594591199.0
cap malheureux,-19.98,57.61,71.01,77.0,5.0,5.99,MU,1594591199.0
taungdwingyi,20.02,95.55,75.85,91.0,100.0,10.94,MM,1594591199.0
longyearbyen,78.22,15.64,46.4,75.0,75.0,1.12,SJ,1594590937.0
da nang,16.07,108.22,78.8,88.0,20.0,3.36,VN,1594590959.0
palmer,42.16,-72.33,87.8,45.0,40.0,11.41,US,1594591200.0
abu kamal,34.45,40.92,87.44,30.0,2.0,13.22,SY,1594591200.0
hollabrunn,48.55,16.08,53.01,88.0,0.0,2.48,AT,1594591200.0
san jeronimo,-11.95,-75.28,59.92,46.0,14.0,8.28,PE,1594591201.0
chivay,-15.64,-71.6,52.68,32.0,0.0,9.95,PE,1594591201.0
soloneshnoye,51.65,84.32,54.77,85.0,0.0,4.12,RU,1594591201.0
davila,18.47,120.58,83.28,73.0,100.0,2.35,PH,1594591202.0
fomboni,-12.28,43.74,77.65,75.0,0.0,7.29,KM,1594591203.0
geraldton,-28.77,114.6,53.6,62.0,75.0,14.99,AU,1594591204.0
tura,25.52,90.22,74.23,97.0,89.0,5.95,IN,1594591204.0
kosa,59.94,55.0,60.24,86.0,33.0,5.26,RU,1594591205.0
fereydun kenar,36.69,52.52,77.0,88.0,75.0,4.7,IR,1594591205.0
aneho,6.23,1.6,77.0,83.0,20.0,6.93,TG,1594591206.0
gushikawa,26.35,127.87,82.4,88.0,1.0,4.7,JP,1594591206.0
san francisco de macoris,19.3,-70.26,91.4,49.0,40.0,13.87,DO,1594591207.0
senanga,-16.12,23.27,54.28,38.0,0.0,5.48,ZM,1594591207.0
darnah,32.77,22.64,74.62,83.0,0.0,17.92,LY,1594591208.0
verkhoyansk,67.54,133.38,72.97,68.0,11.0,2.08,RU,1594591208.0
aklavik,68.22,-135.01,62.6,45.0,75.0,6.93,CA,1594591209.0
wamba,8.93,8.6,73.74,90.0,98.0,1.79,NG,1594590952.0
palauig,15.44,119.9,82.45,78.0,99.0,4.52,PH,1594591209.0
matagami,49.75,-77.63,57.2,87.0,90.0,10.29,CA,1594591209.0
zelenets,61.88,50.75,60.8,72.0,17.0,4.47,RU,1594591210.0
mozarlandia,-14.74,-50.57,78.15,43.0,16.0,4.25,BR,1594591210.0
felipe carrillo puerto,19.58,-88.05,90.81,50.0,16.0,7.43,MX,1594591211.0
concordia,-31.39,-58.02,57.2,54.0,23.0,5.82,AR,1594591211.0
maryborough,-25.53,152.7,60.01,91.0,100.0,5.01,AU,1594591211.0
buin,-33.73,-70.75,64.4,55.0,75.0,2.24,CL,1594591211.0
solnechnyy,50.72,136.63,67.91,74.0,72.0,2.13,RU,1594591212.0
westport,41.14,-73.36,88.0,45.0,1.0,11.41,US,1594591205.0
marrakesh,31.63,-8.01,87.8,35.0,40.0,9.17,MA,1594591212.0
naryan-mar,67.67,53.09,45.25,88.0,100.0,13.27,RU,1594591213.0
ust-kulom,61.69,53.69,55.98,78.0,9.0,6.49,RU,1594591213.0
batagay,67.63,134.63,75.06,61.0,66.0,2.71,RU,1594591213.0
barabinsk,55.36,78.36,55.22,92.0,0.0,8.72,RU,1594591213.0
mamlyutka,54.94,68.54,60.08,80.0,0.0,5.03,KZ,1594591214.0
kangar,6.44,100.2,78.8,94.0,20.0,2.59,MY,1594590963.0
jinchang,38.5,102.17,67.32,57.0,3.0,2.46,CN,1594591214.0
hirara,24.8,125.28,80.6,94.0,40.0,3.36,JP,1594591214.0
abu road,24.48,72.78,78.93,86.0,100.0,8.32,IN,1594591116.0
bengkulu,-3.8,102.27,74.1,89.0,59.0,3.85,ID,1594591215.0
saint-pierre,-21.34,55.48,64.4,72.0,21.0,3.36,RE,1594591215.0
lata,40.16,-8.33,75.99,58.0,0.0,1.99,PT,1594591215.0
inhambane,-23.86,35.38,60.26,74.0,5.0,8.7,MZ,1594591216.0
luanda,-8.84,13.23,69.8,83.0,14.0,5.82,AO,1594591209.0
honningsvag,70.98,25.97,49.33,82.0,2.0,12.75,NO,1594591216.0
sira,13.75,76.91,72.9,85.0,97.0,9.19,IN,1594591216.0
general roca,-39.03,-67.58,46.4,61.0,100.0,2.24,AR,1594591217.0
petrykiv,49.53,25.58,55.99,84.0,56.0,11.01,UA,1594591217.0
harper,4.38,-7.72,74.97,81.0,75.0,7.23,LR,1594591217.0
rieti,42.41,12.86,73.0,87.0,0.0,3.36,IT,1594591218.0
sobolevo,54.43,31.9,54.1,80.0,98.0,11.3,RU,1594591218.0
ancud,-41.87,-73.82,42.8,75.0,75.0,6.93,CL,1594591218.0
the valley,18.22,-63.06,87.8,74.0,40.0,12.75,AI,1594591218.0
flinders,-34.58,150.86,46.99,89.0,72.0,1.01,AU,1594591218.0
millinocket,45.66,-68.71,80.6,74.0,20.0,4.7,US,1594591001.0
sayansk,54.11,102.16,55.98,83.0,48.0,2.17,RU,1594591076.0
nizhniy kuranakh,58.84,125.49,77.56,57.0,31.0,1.3,RU,1594591219.0
kautokeino,69.01,23.04,48.87,83.0,96.0,7.09,NO,1594591219.0
san francisco,37.77,-122.42,78.8,46.0,1.0,19.46,US,1594591184.0
uglovskoye,51.36,80.19,64.33,75.0,88.0,4.92,RU,1594591220.0
pampa,35.54,-100.96,105.8,15.0,1.0,17.22,US,1594590941.0
caravelas,-17.71,-39.25,71.24,83.0,57.0,4.12,BR,1594591221.0
tilichiki,60.47,166.1,51.04,93.0,100.0,4.74,RU,1594591221.0
yumen,40.28,97.2,74.01,24.0,100.0,5.84,CN,1594590936.0
steinbach,50.17,8.57,70.0,45.0,83.0,11.41,DE,1594591222.0
gummersbach,51.03,7.55,64.0,70.0,95.0,5.7,DE,1594591222.0
porangatu,-13.44,-49.15,77.27,34.0,11.0,1.83,BR,1594591222.0
mnogovershinnyy,53.94,139.92,60.82,77.0,96.0,0.96,RU,1594591223.0
llanes,43.42,-4.75,66.0,90.0,30.0,3.0,ES,1594591223.0
mago,53.25,140.18,62.91,78.0,94.0,2.26,RU,1594591223.0
wajima,37.4,136.9,68.63,74.0,100.0,1.81,JP,1594591223.0
saldanha,-33.01,17.94,57.2,82.0,49.0,23.04,ZA,1594591223.0
adrar,20.5,-10.07,95.74,28.0,33.0,7.83,MR,1594591224.0
anadyr,64.75,177.48,55.4,82.0,20.0,4.47,RU,1594591222.0
kandrian,-6.22,149.55,78.58,86.0,100.0,3.27,PG,1594591224.0
presidencia roque saenz pena,-26.79,-60.44,63.55,79.0,6.0,4.74,AR,1594591224.0
jawhar,2.78,45.5,75.31,85.0,39.0,12.95,SO,1594591225.0
redlands,34.06,-117.18,104.0,8.0,40.0,6.93,US,1594591004.0
ramshir,30.89,49.41,91.4,26.0,0.0,9.17,IR,1594591225.0
nechi,8.09,-74.78,86.25,68.0,66.0,3.24,CO,1594591225.0
lafiagi,8.87,5.42,75.78,90.0,81.0,3.58,NG,1594591225.0
havelock,34.88,-76.9,87.8,66.0,75.0,12.75,US,1594591005.0
moindou,-21.69,165.68,69.8,68.0,75.0,2.24,NC,1594591226.0
lubyany,56.04,51.4,66.2,68.0,0.0,6.71,RU,1594591226.0
alta floresta,-9.88,-56.09,82.22,42.0,8.0,3.69,BR,1594591204.0
mandalgovi,45.76,106.27,64.71,57.0,2.0,2.44,MN,1594591227.0
karasburg,-28.02,18.75,53.06,39.0,12.0,9.4,NA,1594591227.0
pitkyaranta,61.57,31.48,54.5,85.0,77.0,3.18,RU,1594591227.0
oyama,36.3,139.8,72.0,88.0,75.0,9.17,JP,1594591227.0
alappuzha,9.49,76.33,78.91,85.0,54.0,6.53,IN,1594591054.0
paka,4.64,103.44,75.2,100.0,100.0,3.36,MY,1594591228.0
agirish,61.92,63.02,63.79,71.0,69.0,8.81,RU,1594591228.0
meadow lake,34.8,-106.54,98.6,11.0,75.0,6.93,US,1594591228.0
nouadhibou,20.93,-17.03,73.4,78.0,0.0,11.41,MR,1594591228.0
sirjan,29.45,55.68,76.12,27.0,46.0,10.54,IR,1594591229.0
port blair,11.67,92.75,81.63,80.0,100.0,13.51,IN,1594590979.0
jutai,-5.18,-68.9,77.88,93.0,84.0,2.13,BR,1594591229.0
ginda,30.69,78.49,63.72,71.0,5.0,3.27,IN,1594591229.0
aswan,24.09,32.91,86.05,21.0,34.0,11.34,EG,1594590955.0
wad rawah,15.16,33.14,84.94,49.0,90.0,18.86,SD,1594591230.0
olafsvik,64.89,-23.71,51.06,82.0,54.0,3.31,IS,1594591120.0
vysokogornyy,50.12,139.15,63.57,73.0,36.0,1.25,RU,1594591230.0
mayo,38.89,-76.51,87.8,55.0,75.0,11.41,US,1594591231.0
kenora,49.82,-94.43,75.2,57.0,75.0,8.05,CA,1594591231.0
krasnoselkup,65.7,82.47,53.37,73.0,50.0,4.72,RU,1594591231.0
tehachapi,35.13,-118.45,93.99,12.0,1.0,17.22,US,1594591143.0
de land,29.03,-81.3,96.01,47.0,40.0,6.93,US,1594591231.0
flin flon,54.77,-101.86,75.2,60.0,75.0,11.41,CA,1594591232.0
buchanan,5.88,-10.05,77.0,94.0,75.0,7.16,LR,1594591232.0
alyangula,-13.85,136.42,71.6,53.0,65.0,5.82,AU,1594591102.0
kekri,25.97,75.15,82.18,74.0,100.0,11.83,IN,1594591232.0
devils lake,48.11,-98.87,82.4,45.0,20.0,9.17,US,1594591232.0
bull savanna,17.89,-77.59,82.87,65.0,32.0,10.92,JM,1594591233.0
sitio novo do tocantins,-5.52,-47.46,79.48,51.0,72.0,2.66,BR,1594591233.0
lashma,54.93,41.14,63.09,87.0,0.0,2.8,RU,1594591233.0
teguise,29.06,-13.56,71.6,83.0,20.0,17.22,ES,1594591233.0
lulea,65.58,22.15,57.2,87.0,100.0,8.05,SE,1594591234.0
dromolaxia,34.88,33.59,79.0,88.0,0.0,4.7,CY,1594591234.0
tervuren,50.82,4.51,60.8,72.0,47.0,4.7,BE,1594591234.0
mount isa,-20.73,139.5,46.4,61.0,0.0,11.41,AU,1594591234.0
turan,16.07,108.22,78.8,88.0,20.0,3.36,VN,1594591206.0
huarmey,-10.07,-78.15,66.34,70.0,18.0,7.81,PE,1594591235.0
hasaki,35.73,140.83,66.0,100.0,75.0,9.17,JP,1594591235.0
acapulco,16.86,-99.89,87.8,70.0,75.0,4.7,MX,1594591201.0
bria,6.54,21.99,69.94,93.0,100.0,2.17,CF,1594591131.0
dunedin,-45.87,170.5,44.01,71.0,0.0,9.53,NZ,1594591138.0
port keats,-14.25,129.55,68.11,27.0,100.0,13.71,AU,1594591236.0
rio gallegos,-51.62,-69.22,32.0,91.0,0.0,17.22,AR,1594591236.0
alexandria,31.22,29.96,77.0,78.0,40.0,9.17,EG,1594591205.0
tuscaloosa,33.21,-87.57,78.8,78.0,1.0,3.36,US,1594591237.0
kattivakkam,13.22,80.32,80.6,94.0,90.0,3.36,IN,1594591237.0
kiunga,-6.12,141.29,73.04,98.0,98.0,1.32,PG,1594591237.0
san miguel,13.48,-88.18,93.2,36.0,20.0,11.41,SV,1594591237.0
tessalit,20.2,1.01,94.15,25.0,43.0,10.94,ML,1594591237.0
yenagoa,4.92,6.26,74.41,94.0,95.0,3.47,NG,1594591238.0
samandag,36.08,35.98,80.6,74.0,20.0,14.99,TR,1594591238.0
chapais,49.78,-74.85,62.6,88.0,90.0,10.29,CA,1594591238.0
talnakh,69.49,88.4,53.6,81.0,75.0,4.47,RU,1594591219.0
constitucion,-35.33,-72.42,53.67,81.0,100.0,6.6,CL,1594591239.0
=======
Cities,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
castro,-24.79,-50.01,60.8,77.0,4.0,7.31,BR,1594591101.0
bambous virieux,-20.34,57.76,71.6,78.0,40.0,13.87,MU,1594591101.0
port elizabeth,-33.92,25.57,46.4,81.0,0.0,1.12,ZA,1594591101.0
severo-kurilsk,50.68,156.12,49.78,92.0,100.0,8.46,RU,1594591101.0
rikitea,-23.12,-134.97,71.11,72.0,0.0,16.62,PF,1594591101.0
vaini,-21.2,-175.2,71.6,78.0,40.0,17.22,TO,1594591102.0
itoman,26.12,127.67,84.2,83.0,75.0,3.36,JP,1594591102.0
dikson,73.51,80.55,42.13,97.0,99.0,6.55,RU,1594591102.0
tiksi,71.69,128.87,61.29,69.0,100.0,5.88,RU,1594591103.0
mataura,-46.19,168.86,39.0,83.0,90.0,3.0,NZ,1594591103.0
punta arenas,-53.15,-70.92,37.4,74.0,75.0,21.92,CL,1594591103.0
tiznit,29.58,-9.5,83.05,36.0,82.0,0.72,MA,1594591103.0
busselton,-33.65,115.33,55.0,80.0,37.0,14.34,AU,1594591104.0
boditi,6.97,37.87,57.51,89.0,100.0,1.9,ET,1594591104.0
carnarvon,-24.87,113.63,55.4,87.0,40.0,5.82,AU,1594591104.0
lisakovsk,52.54,62.49,68.0,67.0,0.0,5.35,KZ,1594591104.0
peniche,39.36,-9.38,70.0,86.0,0.0,8.12,PT,1594590911.0
albany,42.6,-73.97,88.0,43.0,9.0,8.43,US,1594591105.0
bambanglipuro,-7.95,110.28,72.23,88.0,98.0,3.18,ID,1594591105.0
klaksvik,62.23,-6.59,50.0,93.0,100.0,11.41,FO,1594591105.0
sucre,-19.03,-65.26,59.85,26.0,0.0,4.25,BO,1594590921.0
ambatondrazaka,-17.83,48.42,56.35,92.0,24.0,3.49,MG,1594591106.0
thunder bay,48.4,-89.32,77.0,50.0,75.0,4.7,CA,1594591106.0
mahebourg,-20.41,57.7,71.6,78.0,40.0,13.87,MU,1594591106.0
lebu,-37.62,-73.65,49.73,89.0,100.0,5.3,CL,1594591106.0
bredasdorp,-34.53,20.04,50.0,61.0,0.0,4.7,ZA,1594591107.0
puerto ayora,-0.74,-90.35,70.0,85.0,84.0,4.0,EC,1594591107.0
clyde river,70.47,-68.59,42.8,93.0,90.0,10.29,CA,1594591107.0
qaanaaq,77.48,-69.36,47.23,59.0,88.0,2.91,GL,1594590835.0
marzuq,14.4,46.47,84.13,42.0,81.0,9.13,YE,1594591107.0
ushuaia,-54.8,-68.3,35.6,93.0,40.0,18.34,AR,1594591108.0
el real de santa maria,8.11,-77.73,87.71,65.0,26.0,2.62,PA,1594591108.0
kapaa,22.08,-159.32,80.6,74.0,75.0,18.34,US,1594591108.0
charters towers,-20.1,146.27,56.21,39.0,54.0,14.92,AU,1594591108.0
codrington,-38.27,141.97,43.95,90.0,0.0,2.8,AU,1594591109.0
cairns,-16.92,145.77,71.6,78.0,74.0,8.05,AU,1594591110.0
bantou,26.22,117.49,76.71,82.0,98.0,1.19,CN,1594591110.0
touros,-5.2,-35.46,75.2,83.0,20.0,5.82,BR,1594591110.0
kodar,16.98,79.97,83.89,69.0,100.0,6.24,IN,1594591110.0
coquimbo,-29.95,-71.34,59.0,72.0,62.0,9.17,CL,1594590813.0
verkhnevilyuysk,63.45,120.32,66.45,71.0,97.0,1.07,RU,1594591102.0
upernavik,72.79,-56.15,41.86,84.0,97.0,9.89,GL,1594591111.0
lasa,46.62,10.7,57.2,76.0,5.0,0.85,IT,1594590812.0
jamestown,42.1,-79.24,73.99,68.0,1.0,9.17,US,1594590967.0
ostrovnoy,68.05,39.51,47.79,91.0,100.0,6.71,RU,1594591111.0
luderitz,-26.65,15.16,53.6,93.0,3.0,1.12,NA,1594591112.0
atuona,-9.8,-139.03,80.44,74.0,2.0,21.14,PF,1594591112.0
komsomolskiy,40.43,71.72,73.4,53.0,100.0,4.7,UZ,1594591112.0
cabo san lucas,22.89,-109.91,93.2,46.0,40.0,9.17,MX,1594590972.0
hobart,-42.88,147.33,39.2,93.0,75.0,9.17,AU,1594591112.0
tasiilaq,65.61,-37.64,41.0,86.0,0.0,8.05,GL,1594591113.0
kruisfontein,-34.0,24.73,58.95,32.0,0.0,15.79,ZA,1594591113.0
malayal,7.21,121.94,78.1,78.0,99.0,3.24,PH,1594591113.0
bluff,-46.6,168.33,39.0,83.0,87.0,3.0,NZ,1594590946.0
teya,60.38,92.63,59.13,78.0,71.0,4.63,RU,1594591114.0
kaitangata,-46.28,169.85,41.0,73.0,4.0,8.01,NZ,1594591114.0
vila velha,-20.33,-40.29,75.2,73.0,29.0,12.75,BR,1594591114.0
norman wells,65.28,-126.83,62.6,67.0,75.0,6.93,CA,1594591114.0
tabou,4.42,-7.35,75.22,80.0,88.0,7.09,CI,1594591114.0
san juan del sur,11.25,-85.87,82.35,76.0,100.0,17.29,NI,1594591115.0
cogealac,44.55,28.57,66.2,63.0,50.0,14.99,RO,1594591115.0
raudeberg,61.99,5.14,53.6,76.0,75.0,3.36,NO,1594591115.0
mikuni,36.22,136.15,68.0,88.0,75.0,3.36,JP,1594591115.0
puerto baquerizo moreno,-0.9,-89.6,67.71,85.0,100.0,7.58,EC,1594591115.0
pevek,69.7,170.31,48.78,71.0,75.0,4.68,RU,1594591116.0
kodiak,57.79,-152.41,55.4,71.0,90.0,11.41,US,1594591116.0
cidreira,-30.18,-50.21,57.33,87.0,99.0,9.28,BR,1594591116.0
ponta do sol,32.67,-17.1,70.0,75.0,0.0,3.83,PT,1594591116.0
butaritari,3.07,172.79,83.55,76.0,48.0,13.6,KI,1594591116.0
mount gambier,-37.83,140.77,39.2,100.0,90.0,6.93,AU,1594591117.0
bryan,30.67,-96.37,102.0,42.0,1.0,3.36,US,1594591101.0
avarua,-21.21,-159.78,71.6,88.0,97.0,8.05,CK,1594591117.0
cacador,-26.78,-51.02,59.09,92.0,1.0,3.47,BR,1594591118.0
kosh-agach,50.0,88.67,52.36,85.0,100.0,1.74,RU,1594591118.0
mareeba,-17.0,145.43,71.6,78.0,78.0,8.05,AU,1594591118.0
waingapu,-9.66,120.26,74.28,84.0,91.0,9.06,ID,1594590821.0
saskylakh,71.92,114.08,59.81,69.0,92.0,17.96,RU,1594591119.0
laguna,38.42,-121.42,104.0,16.0,1.0,3.36,US,1594591119.0
mar del plata,-38.0,-57.56,44.6,52.0,20.0,17.22,AR,1594591036.0
pozo colorado,-23.49,-58.8,74.64,63.0,81.0,2.24,PY,1594591119.0
provideniya,64.38,-173.3,48.2,81.0,20.0,13.42,RU,1594591119.0
yellowknife,62.46,-114.35,66.99,63.0,75.0,8.05,CA,1594590946.0
roma,43.21,-75.46,73.99,88.0,90.0,4.7,US,1594591106.0
ilulissat,69.22,-51.1,48.2,70.0,33.0,4.7,GL,1594591120.0
taganak,6.08,118.3,77.0,94.0,20.0,2.24,PH,1594591120.0
hithadhoo,-0.6,73.08,85.19,70.0,86.0,9.15,MV,1594590941.0
onalaska,43.88,-91.24,84.2,42.0,20.0,9.17,US,1594591121.0
grindavik,63.84,-22.43,50.0,93.0,90.0,3.36,IS,1594591121.0
salalah,17.02,54.09,80.6,94.0,90.0,5.82,OM,1594591121.0
yeppoon,-23.13,150.73,59.0,77.0,74.0,5.82,AU,1594591122.0
chokurdakh,70.63,147.92,64.8,51.0,67.0,10.38,RU,1594591122.0
georgetown,5.41,100.34,80.6,94.0,20.0,3.91,MY,1594591122.0
plouzane,48.38,-4.62,60.8,76.0,0.0,8.05,FR,1594591122.0
chuy,-33.7,-53.46,47.34,70.0,32.0,10.38,UY,1594590834.0
regente feijo,-22.22,-51.3,72.09,56.0,0.0,1.9,BR,1594591123.0
bentiu,9.23,29.83,71.98,93.0,100.0,1.14,SS,1594591123.0
young,-32.68,-57.63,54.0,44.0,42.0,1.01,UY,1594591123.0
sitka,57.05,-135.33,57.2,76.0,75.0,5.82,US,1594591124.0
los llanos de aridane,28.66,-17.92,71.6,78.0,75.0,16.11,ES,1594590833.0
port hardy,50.7,-127.42,55.4,87.0,90.0,4.7,CA,1594590913.0
thompson,55.74,-97.86,75.2,50.0,75.0,9.17,CA,1594591124.0
mustasaari,63.11,21.68,55.0,93.0,90.0,3.36,FI,1594591124.0
kirakira,-10.45,161.92,81.57,79.0,43.0,14.67,SB,1594591125.0
nikolskoye,59.7,30.79,55.4,82.0,86.0,1.63,RU,1594591125.0
ribeira grande,38.52,-28.7,69.15,81.0,0.0,15.99,PT,1594591125.0
arraial do cabo,-22.97,-42.03,77.0,61.0,58.0,5.82,BR,1594590850.0
brigantine,39.41,-74.36,87.01,48.0,20.0,13.87,US,1594591126.0
shelburne,44.08,-80.2,71.01,77.0,20.0,8.05,CA,1594591126.0
barrow,71.29,-156.79,37.4,94.0,90.0,6.93,US,1594590949.0
pangnirtung,66.15,-65.71,49.1,62.0,56.0,2.35,CA,1594591126.0
sisimiut,66.94,-53.67,52.5,58.0,80.0,15.84,GL,1594591127.0
victoria,22.29,114.16,84.0,79.0,13.0,4.34,HK,1594591055.0
hermanus,-34.42,19.23,55.0,85.0,20.0,20.0,ZA,1594591127.0
neryungri,56.67,124.65,76.28,53.0,26.0,1.39,RU,1594591128.0
nanortalik,60.14,-45.24,47.12,88.0,100.0,9.73,GL,1594591128.0
pacifica,37.61,-122.49,73.4,72.0,1.0,12.75,US,1594591128.0
yulara,-25.24,130.99,39.2,69.0,0.0,6.93,AU,1594591128.0
isangel,-19.55,169.27,75.2,73.0,40.0,9.17,VU,1594591128.0
hay river,60.82,-115.8,64.4,77.0,75.0,9.17,CA,1594591062.0
lufilufi,-13.87,-171.6,82.49,77.0,1.0,19.19,WS,1594591129.0
new norfolk,-42.78,147.06,37.0,92.0,0.0,2.44,AU,1594591129.0
itaituba,-4.28,-55.98,80.44,70.0,84.0,2.35,BR,1594591129.0
richards bay,-28.78,32.04,56.01,71.0,0.0,8.12,ZA,1594591130.0
tornio,65.85,24.15,50.0,100.0,98.0,3.36,FI,1594591130.0
sidi ali,36.1,0.42,76.77,71.0,97.0,6.85,DZ,1594591130.0
tautira,-17.73,-149.15,84.2,66.0,40.0,10.29,PF,1594591130.0
fort nelson,58.81,-122.7,69.8,43.0,75.0,12.75,CA,1594590883.0
kushiro,42.98,144.37,59.65,85.0,49.0,3.11,JP,1594590911.0
